Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Date,Letterboxd URI,totalSeasons
Barbie,2023,PG-13,21 Jul 2023,114 min,"Adventure, Comedy, Fantasy",Greta Gerwig,"Greta Gerwig, Noah Baumbach","Margot Robbie, Issa Rae, Kate McKinnon","Barbie and Ken are having the time of their lives in the seemingly perfect world of Barbie Land. However, when they get a chance to go to the outside world, they soon discover the joys and perils of living among regular humans.","English, Spanish","United States, United Kingdom",Won 1 Oscar. 211 wins & 435 nominations total,https://m.media-amazon.com/images/M/MV5BYjI3NDU0ZGYtYjA2YS00Y2RlLTgwZDAtYTE2YTM5ZjE1M2JlXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",80,6.8,"632,573",tt1517268,movie,N/A,"$636,238,421",N/A,N/A,True,,,
Oppenheimer,2023,R,21 Jul 2023,180 min,"Biography, Drama, History",Christopher Nolan,"Christopher Nolan, Kai Bird, Martin Sherwin","Cillian Murphy, Emily Blunt, Robert Downey Jr.","A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.","English, German, Italian, Dutch","United States, United Kingdom",Won 7 Oscars. 364 wins & 373 nominations total,https://m.media-amazon.com/images/M/MV5BM2RmYmVmMzctMzc5Ny00MmNiLTgxMGUtYjk1ZDRhYjA2YTU0XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",90,8.3,"957,337",tt15398776,movie,N/A,"$330,078,895",N/A,N/A,True,,,
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,PG,02 Aug 2023,99 min,"Animation, Action, Adventure","Jeff Rowe, Kyler Spears","Seth Rogen, Evan Goldberg, Jeff Rowe","Micah Abbey, Shamon Brown Jr., Nicolas Cantu",The Turtle brothers work to earn the love of New York City while facing down an army of mutants.,English,"Canada, United States",1 win & 75 nominations total,https://m.media-amazon.com/images/M/MV5BMTViNDM0MmUtOTAwMS00MWRhLWI1NDktMzFkN2YzYTI5OGVlXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",74,7.2,"76,343",tt8589698,movie,N/A,"$118,700,272",N/A,N/A,True,,,
Dead Poets Society,1989,PG,09 Jun 1989,128 min,"Comedy, Drama",Peter Weir,Tom Schulman,"Robin Williams, Robert Sean Leonard, Ethan Hawke","Painfully shy Todd Anderson has been sent to the school where his popular older brother was valedictorian. His roommate, Neil Perry, although exceedingly bright and popular, is very much under the thumb of his overbearing father. The two, along with their other friends, meet Professor Keating, their new English teacher, who tells them of the Dead Poets Society, and encourages them to go against the status quo. Each does so in his own way, and is changed for life.","English, Latin, French",United States,Won 1 Oscar. 20 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMDYwNGVlY2ItMWYxMS00YjZiLWE5MTAtYWM5NWQ2ZWJjY2Q3XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",79,8.1,"622,055",tt0097165,movie,N/A,"$95,860,116",N/A,N/A,True,,,
Spirited Away,2001,PG,28 Mar 2003,124 min,"Animation, Adventure, Family",Hayao Miyazaki,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki","Chihiro and her parents are moving to a small Japanese town in the countryside, much to Chihiro's dismay. On the way to their new home, Chihiro's father makes a wrong turn and drives down a lonely one-lane road which dead-ends in front of a tunnel. Her parents decide to stop the car and explore the area. They go through the tunnel and find an abandoned amusement park on the other side, with its own little town. When her parents see a restaurant with great-smelling food but no staff, they decide to eat and pay later. However, Chihiro refuses to eat and decides to explore the theme park a bit more. She meets a boy named Haku who tells her that Chihiro and her parents are in danger, and they must leave immediately. She runs to the restaurant and finds that her parents have turned into pigs. In addition, the theme park turns out to be a town inhabited by demons, spirits, and evil gods. At the center of the town is a bathhouse where these creatures go to relax. The owner of the bathhouse is the evil witch Yubaba, who is intent on keeping all trespassers as captive workers, including Chihiro. Chihiro must rely on Haku to save her parents in hopes of returning to their world.","Japanese, English","Japan, United States",Won 1 Oscar. 58 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",96,8.6,"938,960",tt0245429,movie,N/A,"$14,821,254",N/A,N/A,True,,,
The Batman,2022,PG-13,04 Mar 2022,176 min,"Action, Crime, Drama",Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane","Robert Pattinson, Zoë Kravitz, Jeffrey Wright","When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.","English, Spanish, Latin, Italian",United States,Nominated for 3 Oscars. 39 wins & 175 nominations total,https://m.media-amazon.com/images/M/MV5BMmU5NGJlMzAtMGNmOC00YjJjLTgyMzUtNjAyYmE4Njg5YWMyXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",72,7.8,"900,503",tt1877830,movie,N/A,"$369,345,583",N/A,N/A,True,,,
Trainspotting,1996,R,09 Aug 1996,93 min,"Crime, Drama",Danny Boyle,"Irvine Welsh, John Hodge","Ewan McGregor, Ewen Bremner, Jonny Lee Miller","A wild, freeform, Rabelaisian trip through the darkest recesses of Edinburgh low-life, focusing on Mark Renton and his attempt to give up his heroin habit, and how the latter affects his relationship with family and friends: Sean Connery wannabe Sick Boy, dimbulb Spud, psycho Begbie, 14-year-old girlfriend Diane, and clean-cut athlete Tommy, who's never touched drugs but can't help being curious about them...",English,"United Kingdom, United States",Nominated for 1 Oscar. 23 wins & 35 nominations total,https://m.media-amazon.com/images/M/MV5BYmVkNGJkMzQtYWQwOS00OTZmLThjODQtZjNjNzllYzRiNTE0XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",83,8.1,"758,254",tt0117951,movie,N/A,"$16,491,080",N/A,N/A,True,,,
Lost in Translation,2003,R,03 Oct 2003,102 min,"Comedy, Drama",Sofia Coppola,Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi","Middle-aged American movie star Bob Harris is in Tokyo to film a personal endorsement Suntory whiskey ad solely for the Japanese market. He is past his movie star prime, but his name and image still have enough cachet for him to have gotten this lucrative $2 million job. He has an unsatisfying home life where his wife Lydia follows him wherever he goes - in the form of messages and faxes - for him to deal with the minutiae of their everyday lives, while she stays at home to look after their kids. Staying at the same upscale hotel is fellow American, twenty-something recent Yale Philosophy graduate Charlotte, her husband John, an entertainment still photographer, who is on assignment in Japan. As such, she is largely left to her own devices in the city, especially when his job takes him out of Tokyo. Both Bob and Charlotte are feeling lost by their current situations, which are not helped by the cultural barriers they feel in Tokyo, those cultural barriers extending far beyond just not knowing the language. After a few chance encounters in the hotel, they end up spending much of their time hanging out together, each helping the other deal with their feelings of loss in their current lives. The friendship that develops between the two, which is not always a bumpy-free one, may be just for this specific place and time, but it may also have long lasting implications.","English, Japanese, German, French","United States, Japan",Won 1 Oscar. 97 wins & 133 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxMzk0NDg1MV5BMl5BanBnXkFtZTgwNDg0NjkxMDI@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",91,7.7,"517,809",tt0335266,movie,N/A,"$44,585,453",N/A,N/A,True,,,
The Rocky Horror Picture Show,1975,R,29 Sep 1975,100 min,"Comedy, Horror, Musical",Jim Sharman,"Richard O'Brien, Jim Sharman","Tim Curry, Susan Sarandon, Barry Bostwick","On a wild and rain-swept late-November evening, somewhere at an empty stretch of road outside Ohio's merry Denton, blissfully-affianced, prudish, boringly-innocent young pair Brad Majors (Barry Bostwick) and Janet Weiss (Susan Sarandon) find themselves stranded on their way to visit an ex-tutor. Instead, the couple will inadvertently unearth the cross-dressing Dr. Frank-N-Furter's (Tim Curry's) spooky lair of inexhaustible oddities, just in time to partake in the out-of-this-world mad scientist's proud unveiling of his latest, delightfully extravagant, most daring creation: the ultimate male and the perfect sex symbol: the flaxen-haired Rocky Horror (Peter Hinwood). But, little by little, as the effervescent transgressive force gobbles up whole the unsuspecting visitors of the night, Brad and Janet slowly begin to embrace the potent fascinations of seduction, while an idolized Rocky roams free in the mansion. Who can interrupt man's union with the absolute pleasure?",English,"United Kingdom, United States",3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOTg2YzY5ZGYtNDk1My00N2Q2LWFhN2YtZWU5YTkzODIyZGRmXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",65,7.4,"178,887",tt0073629,movie,N/A,"$113,028,197",N/A,N/A,True,,,
The Florida Project,2017,R,10 Nov 2017,111 min,Drama,Sean Baker,"Sean Baker, Chris Bergoch","Brooklynn Prince, Bria Vinaite, Willem Dafoe","Halley lives with her six year old daughter Moonee in a budget motel along one of the commercial strips catering to the Walt Disney World tourist clientele outside Orlando, Florida. Halley, who survives largely on welfare, has little respect for people, especially those who cross her, it an attitude that she has passed down to Moonee, who curses and gives the finger like her mother. Although the motel's policy is not to allow long term rentals, Bobby, the motel manager, has made arrangements for people like Halley to live there while not undermining the policy as he realizes that many such tenants have no place to go otherwise. Halley, Moonee and Moonee's friends, who live in the motel or others like it along the strip and who she often drags into her disruptive pranks, are often the bane of Bobby's existence, but while dealing with whatever problem arises, Bobby has a soft spot especially for the children and thus, by association, their parents, as he knows that Moonee and others like her are just children acting like a children under whatever guidance they have, Moonee who has less guidance than most. Although there are some lines which he will not tolerate to be crossed, Bobby lets most of the disruptive things that they do go, largely as long as it does not affect the bread and butter of the motel, namely the tourist trade. The summer in this collective is presented, when Moonee and her friends, such as Scooty, are out of school and are left largely to their own devices while self-absorbed Halley does whatever she wants, often just staying in the room watching TV. Halley is supposed to look after Scooty, the son of Halley's friend Ashley, they who live in the unit immediately underneath Halley and Moonee's, while Ashley is at work at a local diner. In turn, Ashley pilfers cooked meals from the diner to feed Halley, Moonee and Scooty. Over the course of the summer, Halley systematically begins to alienate one by one the people who are her unofficial support by responding with that disrespect to anything she feels is against her. As such, Halley begins to take more and more extreme measures to maintain the life she leads with Moonee.","English, Spanish, Portuguese",United States,Nominated for 1 Oscar. 68 wins & 134 nominations total,https://m.media-amazon.com/images/M/MV5BNDBhM2MxYjAtMWFiYy00MWMwLThkMDYtN2M1ZWY3NjkxNGExXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",92,7.6,"141,797",tt5649144,movie,N/A,"$5,904,366",N/A,N/A,True,,,
